Date,Product,Units_Sold,Unit_Price,Region,Salesperson
2024-06-19,Laptop,48.0,999,,Charlie
2024-06-21,Laptop,,999,North,Bob
2024-06-23,Laptop,8.0,499,South,Bob
2024-06-25,Headphones,7.0,299,South,Bob
2024-06-27,Tablet,3.0,79,South,
2024-06-29,Tablet,17.0,19,East,Alice
2024-07-01,Laptop,33.0,19,,Alice
2024-07-03,Tablet,48.0,79,,Alice
2024-07-05,Tablet,12.0,499,North,
2024-07-07,Laptop,22.0,19,North,Alice
2024-07-09,Tablet,22.0,299,South,
2024-07-11,Charger,46.0,499,North,Bob
2024-07-13,Phone,30.0,299,East,Charlie
2024-07-15,Phone,38.0,999,,Alice
2024-07-17,Laptop,38.0,499,South,Alice
2024-07-19,Headphones,45.0,19,North,Bob
2024-07-21,Laptop,8.0,499,East,Charlie
2024-07-23,Headphones,27.0,499,East,
2024-07-25,Phone,27.0,499,North,Charlie
2024-07-27,Laptop,34.0,499,,Bob
2024-07-29,Charger,21.0,299,North,Bob
2024-07-31,Tablet,30.0,999,South,Charlie
2024-08-02,Headphones,33.0,79,North,
2024-08-04,Tablet,28.0,499,East,
2024-08-06,Tablet,47.0,19,North,Alice
2024-08-08,Laptop,33.0,499,,
2024-08-10,Tablet,5.0,19,West,Charlie
2024-08-12,Charger,48.0,299,North,Bob
2024-08-14,Tablet,19.0,19,,Alice
2024-08-16,Laptop,4.0,79,,Alice
2024-08-18,Charger,35.0,999,East,Bob
2024-08-20,Phone,49.0,19,,
2024-08-22,Tablet,17.0,19,,Bob
2024-08-24,Laptop,44.0,999,,
2024-08-26,Phone,28.0,79,,Bob
2024-08-28,Phone,,499,South,Charlie
2024-08-30,Headphones,29.0,19,South,
2024-09-01,Charger,46.0,999,East,Charlie
2024-09-03,Tablet,,299,North,Alice
2024-09-05,Laptop,35.0,999,,Bob
2024-09-07,Headphones,41.0,299,North,Alice
2024-09-09,Charger,37.0,79,North,Alice
2024-09-11,Headphones,,499,East,Alice
2024-09-13,Charger,29.0,999,,Alice
2024-09-15,Charger,49.0,19,,Bob
2024-09-17,Tablet,46.0,79,West,Alice
2024-09-19,Charger,31.0,999,North,Bob
2024-09-21,Headphones,35.0,19,North,Bob
2024-09-23,Charger,33.0,999,South,Charlie
2024-09-25,Tablet,,299,West,
2024-09-27,Tablet,32.0,999,South,
2024-09-29,Headphones,23.0,999,South,Bob
2024-10-01,Phone,33.0,999,South,Charlie
2024-10-03,Phone,3.0,79,East,Bob
2024-10-05,Charger,18.0,999,East,Bob
2024-10-07,Laptop,25.0,19,South,Bob
2024-10-09,Charger,42.0,299,West,Charlie
2024-10-11,Headphones,31.0,299,North,
2024-10-13,Headphones,3.0,999,West,Charlie
2024-10-15,Headphones,,79,,Alice
2024-10-17,Headphones,46.0,79,East,Charlie
2024-10-19,Headphones,24.0,19,North,Charlie
2024-10-21,Tablet,32.0,999,North,Charlie
2024-10-23,Phone,47.0,299,,Charlie
2024-10-25,Headphones,22.0,79,,
2024-10-27,Laptop,23.0,999,South,Alice
2024-10-29,Laptop,2.0,79,East,
2024-10-31,Laptop,27.0,79,East,
2024-11-02,Laptop,42.0,299,West,Charlie
2024-11-04,Tablet,2.0,499,South,Bob
2024-11-06,Laptop,26.0,19,South,Bob
2024-11-08,Headphones,17.0,19,South,
2024-11-10,Charger,40.0,299,South,
2024-11-12,Laptop,33.0,79,East,Charlie
2024-11-14,Tablet,9.0,999,East,
2024-11-16,Tablet,43.0,79,South,Charlie
2024-11-18,Laptop,48.0,299,West,Bob
2024-11-20,Charger,39.0,19,North,Bob
2024-11-22,Laptop,29.0,79,North,Alice
2024-11-24,Tablet,42.0,19,West,Bob
2024-11-26,Phone,26.0,999,South,
2024-11-28,Headphones,35.0,19,East,Bob
2024-11-30,Tablet,25.0,19,North,Charlie
2024-12-02,Laptop,24.0,499,,Bob
2024-12-04,Headphones,13.0,499,,Alice
2024-12-06,Laptop,7.0,499,West,Bob
2024-12-08,Laptop,36.0,19,South,Charlie
2024-12-10,Phone,45.0,299,North,Charlie
2024-12-12,Headphones,20.0,19,South,
2024-12-14,Headphones,1.0,299,North,Bob
2024-12-16,Phone,8.0,299,West,Charlie
2024-12-18,Tablet,46.0,499,West,Alice
2024-12-20,Laptop,16.0,79,,
2024-12-22,Charger,14.0,999,South,Alice
2024-12-24,Laptop,12.0,499,,Bob
2024-12-26,Laptop,,499,South,Bob
2024-12-28,Tablet,15.0,79,,Bob
2024-12-30,Laptop,28.0,999,East,
2025-01-01,Phone,34.0,19,East,Charlie
2025-01-03,Phone,2.0,19,East,
2025-01-05,Headphones,32.0,499,East,Alice
2025-01-07,Charger,23.0,999,North,
2025-01-09,Laptop,22.0,499,East,Alice
2025-01-11,Laptop,25.0,299,West,
2025-01-13,Tablet,22.0,499,West,Charlie
2025-01-15,Phone,22.0,499,North,Alice
2025-01-17,Charger,49.0,19,East,Bob
2025-01-19,Headphones,42.0,19,East,Bob
2025-01-21,Phone,6.0,19,East,
2025-01-23,laptop,15.0,299,,Bob
2025-01-25,Tablet,43.0,19,South,Alice
2025-01-27,Tablet,37.0,999,,Bob
2025-01-29,Laptop,33.0,79,South,Charlie
2025-01-31,Charger,,999,East,Charlie
2025-02-02,Headphones,,999,East,
